iter	Passed	Remaining
0	1	124
1	2	107
2	3	101
3	3	91
4	4	87
5	5	83
6	5	78
7	6	76
8	7	73
9	7	71
10	8	72
11	9	70
12	10	68
13	11	72
14	13	78
15	15	82
16	17	86
17	19	89
18	21	91
19	22	90
20	23	88
21	25	90
22	27	91
23	28	91
24	30	91
25	31	88
26	31	85
27	32	83
28	32	80
29	33	77
30	33	75
31	34	73
32	34	71
33	35	68
34	36	67
35	36	65
36	37	63
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	41	55
43	42	53
44	42	52
45	43	51
46	44	49
47	44	48
48	45	47
49	45	45
50	46	44
51	46	43
52	47	41
53	47	40
54	48	39
55	48	38
56	49	37
57	49	36
58	50	35
59	51	34
60	51	33
61	52	32
62	53	31
63	53	30
64	54	29
65	55	28
66	55	27
67	56	26
68	56	25
69	57	24
70	57	23
71	58	22
72	58	21
73	59	20
74	60	20
75	60	19
76	61	18
77	61	17
78	62	16
79	62	15
80	63	14
81	63	13
82	64	13
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	68	6
91	69	6
92	70	5
93	70	4
94	71	3
95	71	2
96	72	2
97	72	1
98	73	0
99	73	0
