iter	Passed	Remaining
0	154	154263
1	156	77940
2	157	52205
3	157	39299
4	158	31546
5	159	26374
6	159	22692
7	160	19927
8	161	17775
9	162	16062
10	162	14649
11	163	13464
12	164	12465
13	164	11613
14	167	10970
15	167	10325
16	168	9746
17	169	9232
18	169	8775
19	170	8359
20	171	7987
21	172	7646
22	172	7332
23	173	7044
24	173	6780
25	174	6536
26	175	6310
27	175	6099
28	176	5903
29	176	5720
30	177	5548
31	178	5386
32	178	5234
33	179	5090
34	179	4955
35	180	4830
36	181	4719
37	182	4610
38	182	4502
39	183	4398
40	183	4299
41	184	4205
42	184	4116
43	185	4030
44	186	3948
45	186	3872
46	187	3797
47	187	3726
48	188	3657
49	188	3590
50	189	3526
51	190	3465
52	190	3406
53	191	3350
54	191	3295
55	192	3242
56	192	3191
57	193	3142
58	194	3094
59	194	3049
60	195	3005
61	195	2963
62	196	2925
63	197	2886
64	197	2846
65	198	2808
66	199	2771
67	199	2735
68	200	2700
69	200	2666
70	201	2632
71	201	2600
72	202	2568
73	202	2538
74	203	2508
75	203	2479
76	204	2450
77	204	2423
78	205	2396
79	206	2370
80	206	2344
81	207	2319
82	207	2292
83	208	2268
84	208	2246
85	209	2224
86	209	2202
87	210	2181
88	211	2162
89	211	2142
90	212	2122
91	213	2103
92	213	2084
93	214	2067
94	215	2049
95	215	2031
96	216	2013
97	216	1996
98	217	1979
99	218	1962
100	218	1946
101	219	1929
102	219	1914
103	220	1898
104	220	1883
105	221	1868
106	222	1853
107	222	1839
108	223	1824
109	223	1811
110	224	1798
111	225	1784
112	225	1771
113	226	1763
114	227	1751
115	228	1739
116	228	1726
117	229	1714
118	229	1702
119	230	1690
120	231	1679
121	231	1666
122	232	1655
123	232	1643
124	233	1632
125	233	1621
126	234	1609
127	234	1599
128	235	1588
129	235	1578
130	236	1568
131	236	1558
132	237	1548
133	238	1538
134	238	1530
135	239	1521
136	239	1511
137	240	1502
138	241	1493
139	241	1485
140	242	1477
141	242	1467
142	243	1459
143	244	1451
144	244	1442
145	245	1434
146	245	1426
147	246	1418
148	246	1410
149	247	1402
150	248	1394
151	248	1386
152	249	1379
153	249	1371
154	250	1364
155	250	1356
156	251	1349
157	251	1342
158	252	1335
159	253	1329
160	253	1322
161	254	1315
162	254	1308
163	255	1302
164	256	1295
165	256	1290
166	257	1286
167	258	1280
168	259	1274
169	259	1268
170	260	1262
171	261	1256
172	261	1251
173	262	1245
174	262	1239
175	263	1233
176	264	1228
177	264	1222
178	265	1217
179	265	1211
180	266	1206
181	267	1200
182	267	1195
183	268	1190
184	269	1185
185	269	1180
186	270	1174
187	270	1169
188	272	1167
189	272	1163
190	273	1158
191	274	1153
192	274	1148
193	275	1144
194	275	1139
195	276	1134
196	277	1129
197	277	1124
198	278	1119
199	278	1115
200	279	1110
201	279	1105
202	280	1100
203	281	1096
204	281	1092
205	282	1087
206	282	1083
207	283	1079
208	283	1074
209	284	1070
210	285	1065
211	285	1061
212	286	1057
213	287	1056
214	288	1052
215	288	1048
216	289	1044
217	290	1040
218	290	1036
219	291	1032
220	291	1028
221	292	1024
222	292	1020
223	293	1016
224	294	1012
225	294	1008
226	295	1005
227	295	1001
228	296	997
229	297	994
230	297	990
231	298	987
232	298	983
233	299	979
234	299	975
235	300	972
236	300	968
237	301	965
238	302	962
239	302	959
240	303	956
241	304	952
242	304	949
243	305	945
244	305	942
245	306	938
246	306	935
247	307	931
248	307	928
249	308	925
250	309	922
251	309	919
252	310	915
253	310	912
254	311	910
255	312	907
256	312	904
257	313	901
258	314	898
259	314	895
260	315	893
261	316	890
262	316	888
263	317	885
264	318	882
265	318	879
266	319	876
267	320	874
268	320	871
269	321	868
270	321	865
271	322	862
272	323	860
273	323	857
274	324	855
275	325	852
276	325	849
277	326	847
278	326	844
279	327	842
280	328	839
281	328	836
282	329	834
283	329	831
284	330	829
285	331	827
286	332	825
287	332	822
288	333	820
289	333	817
290	334	815
291	335	812
292	335	810
293	336	808
294	337	805
295	337	803
296	338	801
297	339	799
298	339	796
299	340	794
300	341	792
301	341	790
302	342	787
303	343	785
304	343	783
305	344	781
306	345	779
307	346	777
308	347	776
309	347	773
310	348	771
311	348	769
312	349	767
313	350	764
314	350	762
315	351	760
316	351	758
317	352	756
318	353	754
319	354	752
320	354	750
321	355	748
322	356	746
323	356	744
324	357	742
325	358	740
326	358	738
327	359	736
328	360	734
329	361	733
330	362	732
331	363	730
332	363	728
333	364	726
334	365	724
335	365	722
336	366	720
337	366	718
338	367	716
339	368	714
340	368	712
341	369	710
342	370	708
343	370	706
344	371	705
345	372	703
346	372	701
347	373	699
348	374	697
349	374	695
350	375	694
351	376	693
352	377	691
353	378	689
354	378	688
355	379	686
356	380	684
357	380	682
358	381	681
359	382	680
360	383	679
361	385	678
362	387	679
363	388	678
364	388	676
365	389	675
366	391	674
367	392	673
368	392	671
369	393	670
370	394	669
371	395	668
372	397	668
373	398	666
374	399	665
375	399	663
376	400	662
377	401	660
378	402	658
379	402	657
380	403	655
381	404	653
382	404	652
383	406	652
384	407	651
385	408	649
386	409	648
387	410	646
388	410	645
389	411	643
390	412	642
391	412	640
392	413	638
393	414	637
394	414	635
395	415	633
396	416	632
397	416	630
398	417	628
399	418	627
400	418	625
401	419	623
402	420	622
403	421	621
404	421	619
405	422	618
406	423	616
407	423	615
408	424	613
409	425	612
410	426	610
411	426	609
412	427	607
413	428	606
414	428	604
415	429	603
416	431	602
417	431	601
418	432	599
419	433	598
420	434	597
421	434	595
422	435	594
423	436	593
424	438	592
425	438	591
426	439	589
427	440	588
428	441	587
429	442	586
430	443	585
431	444	583
432	444	582
433	445	581
434	446	579
435	446	578
436	447	576
437	448	575
438	449	573
439	449	572
440	450	571
441	451	570
442	453	569
443	453	568
444	454	566
445	455	565
446	455	564
447	456	562
448	457	561
449	458	560
450	458	558
451	459	557
452	460	555
453	460	554
454	461	553
455	462	551
456	463	550
457	463	549
458	464	547
459	465	546
460	467	546
461	468	545
462	468	543
463	469	542
464	470	540
465	470	539
466	471	538
467	472	536
468	472	535
469	473	533
470	474	532
471	474	531
472	475	529
473	476	528
474	476	526
475	477	525
476	478	524
477	478	522
478	479	521
479	480	520
480	484	523
481	485	521
482	486	520
483	487	519
484	487	517
485	488	516
486	489	515
487	490	514
488	490	512
489	491	511
490	492	510
491	493	509
492	494	508
493	495	507
494	495	505
495	497	505
496	498	504
497	499	503
498	500	502
499	500	500
500	501	499
501	502	498
502	503	497
503	503	495
504	504	494
505	505	493
506	506	492
507	506	490
508	507	489
509	508	488
510	509	487
511	510	486
512	510	484
513	511	483
514	512	482
515	513	481
516	514	480
517	514	478
518	515	477
519	515	476
520	516	474
521	517	473
522	517	472
523	518	470
524	518	469
525	519	468
526	519	466
527	520	465
528	521	463
529	521	462
530	522	461
531	522	459
532	523	458
533	523	457
534	524	455
535	525	454
536	525	453
537	526	451
538	526	450
539	527	449
540	528	448
541	528	446
542	529	445
543	529	444
544	530	442
545	530	441
546	531	440
547	531	438
548	532	437
549	533	436
550	533	434
551	534	433
552	534	432
553	535	430
554	535	429
555	536	428
556	536	427
557	537	425
558	537	424
559	538	423
560	539	421
561	539	420
562	540	419
563	540	417
564	541	416
565	541	415
566	542	414
567	543	413
568	543	412
569	544	410
570	545	409
571	545	408
572	546	406
573	546	405
574	547	404
575	547	403
576	548	402
577	548	400
578	549	399
579	549	398
580	550	396
581	551	396
582	552	394
583	552	393
584	553	392
585	553	391
586	554	390
587	554	388
588	555	387
589	555	386
590	556	385
591	557	383
592	557	382
593	558	381
594	559	380
595	559	379
596	560	378
597	560	377
598	561	375
599	562	374
600	562	373
601	563	372
602	563	371
603	564	369
604	564	368
605	565	367
606	565	366
607	566	365
608	567	364
609	567	362
610	568	361
611	568	360
612	569	359
613	569	358
614	570	356
615	570	355
616	571	354
617	571	353
618	572	352
619	572	351
620	573	350
621	574	349
622	575	347
623	575	346
624	576	345
625	576	344
626	577	343
627	577	342
628	578	341
629	578	339
630	579	338
631	580	337
632	580	336
633	581	335
634	582	334
635	582	333
636	583	332
637	583	331
638	584	330
639	584	328
640	585	327
641	585	326
642	586	325
643	586	324
644	587	323
645	588	322
646	589	321
647	589	320
648	590	319
649	590	318
650	591	317
651	591	315
652	592	314
653	593	313
654	593	312
655	594	311
656	594	310
657	595	309
658	595	308
659	596	307
660	597	306
661	597	305
662	598	304
663	598	302
664	599	301
665	599	300
666	600	299
667	600	298
668	601	297
669	602	296
670	602	295
671	603	294
672	604	293
673	604	292
674	605	291
675	606	290
676	606	289
677	607	288
678	608	287
679	608	286
680	609	285
681	609	284
682	610	283
683	610	282
684	611	281
685	611	280
686	612	279
687	613	278
688	613	276
689	614	275
690	614	274
691	615	273
692	615	272
693	616	271
694	616	270
695	617	269
696	617	268
697	618	267
698	619	266
699	620	265
700	620	264
701	621	263
702	621	262
703	622	261
704	622	260
705	623	259
706	623	258
707	624	257
708	624	256
709	625	255
710	626	254
711	626	253
712	627	252
713	627	251
714	628	250
715	628	249
716	629	248
717	629	247
718	630	246
719	631	245
720	631	244
721	632	243
722	632	242
723	633	241
724	634	240
725	634	239
726	635	238
727	635	237
728	636	236
729	636	235
730	637	234
731	638	233
732	638	232
733	639	231
734	639	230
735	640	229
736	640	228
737	641	227
738	641	226
739	642	225
740	642	224
741	643	223
742	643	222
743	644	221
744	645	220
745	645	219
746	646	218
747	646	217
748	647	216
749	647	215
750	648	214
751	649	214
752	649	213
753	650	212
754	651	211
755	651	210
756	652	209
757	652	208
758	653	207
759	654	206
760	654	205
761	655	204
762	655	203
763	656	202
764	656	201
765	657	200
766	657	199
767	658	198
768	658	197
769	659	196
770	660	196
771	660	195
772	661	194
773	661	193
774	662	192
775	662	191
776	663	190
777	663	189
778	664	188
779	665	187
780	666	186
781	666	185
782	667	184
783	667	183
784	668	183
785	668	182
786	669	181
787	669	180
788	670	179
789	670	178
790	671	177
791	672	176
792	672	175
793	673	174
794	673	173
795	674	172
796	674	171
797	675	170
798	675	170
799	676	169
800	676	168
801	677	167
802	677	166
803	678	165
804	679	164
805	680	163
806	680	162
807	681	161
808	681	161
809	682	160
810	683	159
811	683	158
812	684	157
813	684	156
814	685	155
815	685	154
816	686	153
817	686	152
818	687	151
819	687	151
820	688	150
821	689	149
822	689	148
823	690	147
824	690	146
825	691	145
826	691	144
827	692	143
828	692	142
829	693	142
830	694	141
831	695	140
832	695	139
833	696	138
834	696	137
835	697	136
836	698	135
837	698	135
838	699	134
839	699	133
840	700	132
841	700	131
842	701	130
843	701	129
844	702	128
845	703	127
846	703	127
847	704	126
848	704	125
849	705	124
850	705	123
851	706	122
852	706	121
853	707	120
854	708	120
855	708	119
856	709	118
857	710	117
858	711	116
859	712	115
860	712	115
861	713	114
862	714	113
863	715	112
864	715	111
865	716	110
866	717	110
867	718	109
868	718	108
869	719	107
870	720	106
871	720	105
872	721	104
873	722	104
874	722	103
875	723	102
876	724	101
877	725	100
878	725	99
879	726	99
880	727	98
881	727	97
882	728	96
883	729	95
884	729	94
885	730	94
886	731	93
887	731	92
888	732	91
889	733	90
890	733	89
